unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
182,NA,NA,NA,NA,3,NA,1,NA,NA,NA,----3-1---,1,Crime,They lose,No issue,Strong Democrat,Very Liberal,Female,35-44,White/Caucasian
183,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,2,Health care,We win,No issue,Weak Democrat,Liberal,Female,25-34,White/Caucasian
184,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,6,Immigration,No quote,3rd issue,Weak Democrat,Very Liberal,Female,25-34,White/Caucasian
185,NA,NA,NA,NA,3,1,NA,NA,NA,NA,----31----,3,Immigration,No quote,Top issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
186,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,2,National security,We win,No issue,Weak Democrat,Liberal,Female,25-34,Pacific Islander
187,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,5,Social security,We win,Top issue,Independent,Liberal,Female,18-24,Hispanic
188,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,8,Terrorism,We win,3rd issue,Strong Republican,Conservative,Male,65 or over,White/Caucasian
189,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,3,Jobs,No quote,Top issue,Lean Democrat,Moderate,Male,55-64,White/Caucasian
190,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,4,National security,They lose,Top issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
191,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,2,Immigration,We win,No issue,Independent,Moderate,Female,55-64,White/Caucasian
192,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1--------3,5,National security,We win,Top issue,Strong Democrat,Very Liberal,Male,35-44,Other
193,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,1,Immigration,They lose,No issue,Strong Democrat,Liberal,Male,35-44,White/Caucasian
194,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,3,Jobs,No quote,Top issue,Lean Democrat,Conservative,Male,35-44,White/Caucasian
195,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,1,Jobs,They lose,No issue,Lean Republican,Moderate,Male,45-54,White/Caucasian
196,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,5,Jobs,We win,Top issue,Strong Republican,Conservative,Female,45-54,White/Caucasian
197,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-----1----,2,Immigration,We win,No issue,Strong Republican,Very Conservative,Female,45-54,White/Caucasian
198,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,2,Drug addiction,We win,No issue,Lean Democrat,Liberal,Female,18-24,White/Caucasian
199,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,5,Crime,We win,Top issue,Not sure,Not Sure,Female,18-24,White/Caucasian
200,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,5,Immigration,We win,Top issue,Lean Democrat,Liberal,Female,25-34,Asian
201,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,5,Crime,We win,Top issue,Strong Democrat,Moderate,Female,18-24,African American
202,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,0,National security,No quote,No issue,Strong Republican,Moderate,Male,45-54,White/Caucasian
203,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Jobs,They lose,No issue,Strong Democrat,Moderate,Female,35-44,White/Caucasian
204,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,6,National security,No quote,3rd issue,Weak Democrat,Conservative,Male,65 or over,White/Caucasian
205,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,6,Drug addiction,No quote,3rd issue,Independent,Moderate,Male,35-44,African American
206,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,8,Crime,We win,3rd issue,Strong Democrat,Very Liberal,Female,18-24,Asian
207,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,0,National security,No quote,No issue,Weak Republican,Conservative,Female,45-54,White/Caucasian
208,NA,NA,3,NA,NA,NA,NA,NA,1,NA,--3-----1-,6,Education,No quote,3rd issue,Lean Democrat,Liberal,Male,18-24,Hispanic
209,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Female,35-44,White/Caucasian
210,NA,NA,NA,NA,1,NA,NA,3,NA,NA,----1--3--,1,Crime,They lose,No issue,Lean Republican,Moderate,Female,65 or over,White/Caucasian
211,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,2,National security,We win,No issue,Independent,Conservative,Male,55-64,White/Caucasian
212,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,3,National security,No quote,Top issue,Strong Republican,Conservative,Male,18-24,White/Caucasian
213,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,6,Environment,No quote,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
214,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,0,Drug addiction,No quote,No issue,Independent,Not Sure,Female,25-34,White/Caucasian
215,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,6,Crime,No quote,3rd issue,Independent,Moderate,Female,25-34,Asian
216,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,3,Jobs,No quote,Top issue,Strong Democrat,Liberal,Male,25-34,Hispanic
217,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,3,Environment,No quote,Top issue,Strong Democrat,Very Liberal,Male,55-64,White/Caucasian
218,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,0,Social security,No quote,No issue,Strong Democrat,Moderate,Female,35-44,Hispanic
219,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,1,Health care,They lose,No issue,Lean Democrat,Liberal,Female,18-24,White/Caucasian
220,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,6,Social security,No quote,3rd issue,Strong Democrat,Moderate,Female,45-54,African American
221,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1-----3---,7,Drug addiction,They lose,3rd issue,Strong Democrat,Liberal,Male,45-54,Hispanic
222,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,7,Drug addiction,They lose,3rd issue,Lean Democrat,Moderate,Female,35-44,White/Caucasian
223,NA,3,NA,NA,1,NA,NA,NA,NA,NA,-3--1-----,4,Crime,They lose,Top issue,Independent,Moderate,Female,25-34,Hispanic
224,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,2,Health care,We win,No issue,Independent,Liberal,Male,65 or over,White/Caucasian
225,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,7,Social security,They lose,3rd issue,Strong Democrat,Liberal,Female,25-34,White/Caucasian
226,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,6,Crime,No quote,3rd issue,Strong Democrat,Conservative,Male,25-34,White/Caucasian
227,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,0,National security,No quote,No issue,Lean Democrat,Very Liberal,Male,35-44,White/Caucasian
228,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,3,Health care,No quote,Top issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
229,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,7,Education,They lose,3rd issue,Not sure,Not Sure,Female,25-34,White/Caucasian
230,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,4,Health care,They lose,Top issue,Weak Democrat,Liberal,Female,18-24,Asian
231,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-----1----,0,Immigration,No quote,No issue,Not sure,Moderate,Female,35-44,African American
232,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,6,Health care,No quote,3rd issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
233,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,0,Environment,No quote,No issue,Strong Democrat,Very Liberal,Male,18-24,African American
234,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-3------1-,2,Health care,We win,No issue,Strong Democrat,Very Liberal,Female,35-44,African American
235,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Health care,No quote,No issue,Lean Republican,Conservative,Female,25-34,Native American
236,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,4,National security,They lose,Top issue,Strong Republican,Conservative,Female,35-44,White/Caucasian
237,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,7,National security,They lose,3rd issue,Independent,Not Sure,Female,35-44,Hispanic
238,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3---1-----,7,National security,They lose,3rd issue,Strong Democrat,Very Conservative,Female,25-34,Hispanic
239,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,5,Jobs,We win,Top issue,Lean Democrat,Moderate,Female,25-34,Asian
240,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,7,Jobs,They lose,3rd issue,Independent,Conservative,Female,25-34,White/Caucasian
241,NA,NA,NA,NA,NA,NA,1,NA,NA,3,------1--3,7,Environment,They lose,3rd issue,Strong Republican,Liberal,Female,18-24,African American
242,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,4,Jobs,They lose,Top issue,Strong Republican,Conservative,Female,35-44,White/Caucasian
243,NA,NA,NA,NA,NA,NA,NA,1,3,NA,-------13-,0,Terrorism,No quote,No issue,Lean Democrat,Liberal,Female,45-54,African American
244,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,1,Jobs,They lose,No issue,Lean Republican,Conservative,Female,45-54,White/Caucasian
245,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,6,Jobs,No quote,3rd issue,Not sure,Not Sure,Female,25-34,African American
246,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,5,Jobs,We win,Top issue,Strong Democrat,Moderate,Female,55-64,African American
247,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,8,Environment,We win,3rd issue,Independent,Moderate,Male,25-34,White/Caucasian
248,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,6,Social security,No quote,3rd issue,Independent,Liberal,Female,35-44,White/Caucasian
249,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,5,Jobs,We win,Top issue,Strong Democrat,Not Sure,Female,25-34,African American
250,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,1,Jobs,They lose,No issue,Weak Democrat,Moderate,Female,45-54,African American
251,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,5,National security,We win,Top issue,Strong Republican,Very Conservative,Female,25-34,White/Caucasian
252,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,2,Drug addiction,We win,No issue,Lean Democrat,Liberal,Female,25-34,Asian
253,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Independent,Very Liberal,Female,25-34,White/Caucasian
254,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,8,Jobs,We win,3rd issue,Strong Democrat,Liberal,Male,25-34,White/Caucasian
255,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,2,Crime,We win,No issue,Independent,Moderate,Male,18-24,White/Caucasian
256,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,0,Crime,No quote,No issue,Strong Democrat,Moderate,Female,65 or over,White/Caucasian
257,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,5,Health care,We win,Top issue,Lean Democrat,Moderate,Female,25-34,African American
258,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,0,Jobs,No quote,No issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,7,National security,They lose,3rd issue,Strong Republican,Very Liberal,Male,45-54,African American
260,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Female,25-34,White/Caucasian
261,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,4,Health care,They lose,Top issue,Strong Democrat,Liberal,Female,35-44,Hispanic
262,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,6,Jobs,No quote,3rd issue,Independent,Liberal,Male,45-54,White/Caucasian
263,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,2,Terrorism,We win,No issue,Strong Democrat,Liberal,Female,35-44,African American
264,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,8,National security,We win,3rd issue,Weak Democrat,Liberal,Male,55-64,White/Caucasian
265,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,0,Drug addiction,No quote,No issue,Independent,Moderate,Female,25-34,White/Caucasian
266,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,6,Jobs,No quote,3rd issue,Independent,Liberal,Female,65 or over,African American
267,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,3,Jobs,No quote,Top issue,Strong Democrat,Very Liberal,Male,25-34,White/Caucasian
268,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,3,Environment,No quote,Top issue,Lean Republican,Moderate,Male,18-24,White/Caucasian
269,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,7,Social security,They lose,3rd issue,Strong Democrat,Moderate,Female,45-54,African American
270,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,0,Immigration,No quote,No issue,Not sure,Not Sure,Female,65 or over,White/Caucasian
271,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Health care,No quote,No issue,Independent,Very Liberal,Female,25-34,African American
272,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,1,Jobs,They lose,No issue,Strong Democrat,Very Liberal,Female,45-54,African American
273,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Independent,Moderate,Female,35-44,White/Caucasian
274,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,2,Health care,We win,No issue,Strong Republican,Conservative,Male,25-34,White/Caucasian
275,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,4,Education,They lose,Top issue,Lean Democrat,Moderate,Female,35-44,Hispanic
276,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,0,National security,No quote,No issue,Weak Republican,Conservative,Female,45-54,White/Caucasian
277,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,2,Social security,We win,No issue,Independent,Not Sure,Female,25-34,White/Caucasian
278,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,3,Health care,No quote,Top issue,Weak Democrat,Very Liberal,Female,25-34,White/Caucasian
279,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Lean Democrat,Liberal,Male,55-64,White/Caucasian
280,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,0,Immigration,No quote,No issue,Strong Republican,Moderate,Male,55-64,White/Caucasian
281,NA,3,NA,NA,1,NA,NA,NA,NA,NA,-3--1-----,0,Health care,No quote,No issue,Independent,Moderate,Female,25-34,White/Caucasian
282,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,7,Crime,They lose,3rd issue,Strong Republican,Conservative,Female,35-44,White/Caucasian
283,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,0,Immigration,No quote,No issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
284,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,3,Crime,No quote,Top issue,Strong Democrat,Moderate,Female,45-54,African American
285,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,6,Crime,No quote,3rd issue,Independent,Liberal,Female,35-44,White/Caucasian
286,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,8,Jobs,We win,3rd issue,Not sure,Not Sure,Female,25-34,White/Caucasian
287,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,6,Education,No quote,3rd issue,Not sure,Not Sure,Female,25-34,White/Caucasian
288,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,0,National security,No quote,No issue,Strong Republican,Very Liberal,Female,25-34,African American
289,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,5,Jobs,We win,Top issue,Not sure,Not Sure,Female,25-34,African American
290,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,1,Environment,They lose,No issue,Weak Democrat,Moderate,Female,25-34,White/Caucasian
291,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,7,Social security,They lose,3rd issue,Strong Republican,Liberal,Male,25-34,White/Caucasian
292,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,7,Health care,They lose,3rd issue,Independent,Moderate,Male,45-54,White/Caucasian
293,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,6,Social security,No quote,3rd issue,Weak Democrat,Liberal,Male,35-44,White/Caucasian
294,NA,NA,NA,NA,3,1,NA,NA,NA,NA,----31----,0,Immigration,No quote,No issue,Strong Democrat,Not Sure,Female,18-24,African American
295,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,2,National security,We win,No issue,Strong Republican,Conservative,Female,35-44,White/Caucasian
296,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,2,Health care,We win,No issue,Strong Republican,Very Conservative,Female,55-64,White/Caucasian
297,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,0,National security,No quote,No issue,Lean Republican,Conservative,Female,45-54,White/Caucasian
298,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Jobs,They lose,No issue,Not sure,Not Sure,Female,25-34,African American
299,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,6,National security,No quote,3rd issue,Weak Republican,Conservative,Female,35-44,White/Caucasian
300,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,2,Social security,We win,No issue,Lean Democrat,Liberal,Female,35-44,White/Caucasian
301,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,2,Education,We win,No issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
302,NA,3,NA,NA,NA,NA,1,NA,NA,NA,-3----1---,7,Health care,They lose,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
303,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,7,Education,They lose,3rd issue,Independent,Moderate,Female,25-34,Other
304,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,8,Drug addiction,We win,3rd issue,Weak Republican,Conservative,Female,55-64,White/Caucasian
305,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,0,Crime,No quote,No issue,Strong Republican,Moderate,Female,35-44,African American
306,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,2,Education,We win,No issue,Lean Republican,Moderate,Female,25-34,White/Caucasian
307,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,0,Environment,No quote,No issue,Independent,Moderate,Female,45-54,White/Caucasian
308,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,3,Social security,No quote,Top issue,Lean Democrat,Moderate,Female,18-24,White/Caucasian
309,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,4,Social security,They lose,Top issue,Independent,Moderate,Male,55-64,White/Caucasian
310,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,4,Terrorism,They lose,Top issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
311,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,7,Education,They lose,3rd issue,Strong Democrat,Liberal,Female,25-34,White/Caucasian
312,NA,NA,NA,NA,NA,NA,NA,NA,3,1,--------31,1,Environment,They lose,No issue,Independent,Conservative,Female,18-24,White/Caucasian
313,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,0,Health care,No quote,No issue,Independent,Conservative,Female,25-34,White/Caucasian
314,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,0,Health care,No quote,No issue,Independent,Moderate,Female,45-54,White/Caucasian
315,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,7,Social security,They lose,3rd issue,Strong Republican,Conservative,Female,65 or over,White/Caucasian
316,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-3------1-,4,Terrorism,They lose,Top issue,Weak Republican,Conservative,Female,35-44,White/Caucasian
317,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,8,Jobs,We win,3rd issue,Strong Democrat,Very Liberal,Female,18-24,African American
318,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,2,Education,We win,No issue,Independent,Liberal,Male,18-24,African American
319,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,7,Jobs,They lose,3rd issue,Not sure,Liberal,Female,25-34,White/Caucasian
320,NA,NA,NA,NA,3,NA,NA,NA,NA,1,----3----1,8,Crime,We win,3rd issue,Weak Democrat,Moderate,Male,18-24,White/Caucasian
321,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,1,Education,They lose,No issue,Not sure,Liberal,Female,35-44,White/Caucasian
322,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,0,National security,No quote,No issue,Lean Democrat,Conservative,Male,35-44,Asian
323,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,7,Crime,They lose,3rd issue,Strong Republican,Very Conservative,Male,55-64,White/Caucasian
324,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,0,Health care,No quote,No issue,Lean Democrat,Conservative,Female,18-24,African American
325,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,1,Social security,They lose,No issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
326,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,2,Jobs,We win,No issue,Weak Democrat,Moderate,Female,25-34,White/Caucasian
327,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,2,Environment,We win,No issue,Strong Democrat,Very Liberal,Female,45-54,White/Caucasian
328,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,4,Environment,They lose,Top issue,Strong Democrat,Liberal,Female,35-44,White/Caucasian
329,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,8,Environment,We win,3rd issue,Independent,Conservative,Female,18-24,Hispanic
330,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,4,National security,They lose,Top issue,Independent,Not Sure,Female,35-44,White/Caucasian
331,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Independent,Moderate,Male,25-34,White/Caucasian
332,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,---1------,4,Jobs,They lose,Top issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
333,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,2,Education,We win,No issue,Strong Democrat,Very Liberal,Female,35-44,White/Caucasian
334,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,3,National security,No quote,Top issue,Independent,Moderate,Female,35-44,White/Caucasian
335,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,2,Social security,We win,No issue,Independent,Very Liberal,Female,35-44,White/Caucasian
336,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Weak Democrat,Moderate,Female,55-64,White/Caucasian
337,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,2,Environment,We win,No issue,Independent,Moderate,Female,25-34,White/Caucasian
338,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,6,Crime,No quote,3rd issue,Weak Democrat,Moderate,Female,25-34,White/Caucasian
339,NA,NA,NA,3,NA,NA,NA,NA,1,NA,---3----1-,8,Jobs,We win,3rd issue,Lean Republican,Conservative,Female,35-44,White/Caucasian
340,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,1,National security,They lose,No issue,Strong Republican,Very Conservative,Female,45-54,White/Caucasian
341,NA,NA,NA,NA,NA,NA,1,3,NA,NA,------13--,2,Social security,We win,No issue,Lean Democrat,Moderate,Female,35-44,White/Caucasian
342,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,6,National security,No quote,3rd issue,Strong Republican,Conservative,Female,18-24,White/Caucasian
343,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,0,Environment,No quote,No issue,Strong Democrat,Very Liberal,Female,25-34,African American
344,NA,NA,NA,NA,NA,3,NA,NA,NA,1,-----3---1,8,Immigration,We win,3rd issue,Strong Democrat,Moderate,Female,18-24,Hispanic
345,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,2,Education,We win,No issue,Strong Democrat,Very Liberal,Female,18-24,Other
346,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,6,National security,No quote,3rd issue,Lean Democrat,Conservative,Female,55-64,White/Caucasian
347,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,3,Immigration,No quote,Top issue,Strong Democrat,Very Conservative,Female,45-54,Hispanic
348,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,5,Immigration,We win,Top issue,Independent,Moderate,Female,45-54,White/Caucasian
349,NA,3,NA,NA,1,NA,NA,NA,NA,NA,-3--1-----,0,Crime,No quote,No issue,Not sure,Moderate,Female,25-34,Other
350,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,2,Jobs,We win,No issue,Independent,Conservative,Female,18-24,White/Caucasian
351,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,1,Immigration,They lose,No issue,Strong Democrat,Moderate,Female,18-24,African American
352,NA,NA,3,NA,1,NA,NA,NA,NA,NA,--3-1-----,1,Crime,They lose,No issue,Not sure,Liberal,Female,25-34,White/Caucasian
353,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,2,Immigration,We win,No issue,Lean Republican,Conservative,Female,65 or over,White/Caucasian
354,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,0,Education,No quote,No issue,Lean Democrat,Moderate,Male,35-44,African American
